Attack #,Start Time,End Time,Attack Point,Start State,Attack,Actual Change,Expected Impact or attacker intent,Unexpected Outcome
28,2015-12-31 1:45,2015-12-31 11:15,P-302,P302 is on,Close P-302,Yes,Stop inflow of tank T-401,
29,2015-12-31 15:32,2015-12-31 15:34,"P-201, P-203, P-205",P-201 is closed; P-203 is closed; P-205 is closed,Turn on P-201; Turn on P-203; Turn on P-205,Yes,Wastage of chemicals,The three dosing pump did not start because of some mechanical interlock
30,2015-12-31 15:47,2015-12-31 16:07,"LIT-101, P-101, MV-201",P-101 is off; MV-101 is off; MV-201 is off; LIT-101 is between L and H;  LIT-301 is between L and H,Turn P-101 on continuously; Turn MV-101 on continuously; Set value of LIT-101 as 700 mm; P-102 started itself because LIT301 level became low,Yes,Tank 101 underflow; Tank 301 overflow,
31,2015-12-31 22:05,2015-12-31 22:11,LIT-401,Water level between L and H,Set LIT-401 to less than L,No,Tank overflow,
32,2016-01-01 10:36,2016-01-01 10:46,LIT-301,Water level between L and H,Set LIT-301 to above HH,No,Tank underflow; Damage P-302,
33,2016-01-01 14:21,2016-01-01 14:28,LIT-101,Water level between L and H,Set LIT-101 to above H,No,Tank underflow; Damage P-101,
34,2016-01-01 17:12,2016-01-01 17:14,P-101,P-101 is on,Turn P-101 off,Yes,Stops outflow,Outflow did not stop because the system turned on P-102
35,2016-01-01 17:18,2016-01-01 17:26,"P-101, P-102",P-101 is on; P-102 is off,Turn P-101 off; Keep P-102 off,Yes,Stops outflow,
36,2016-01-01 22:16,2016-01-01 22:25,LIT-101,Water level between L and H,Set LIT-101 to less than LL,No,Tank overflow,
37,2016-01-02 11:17,2016-01-02 11:24,"P-501, FIT-502",P-501 is on; FIT-502 in normal range,Close P-501; Set value of FIT-502 to 1.29  at 11:18:36,No,Reduced output,P-501 did not turn off; FIT-502 decreased to 0.8; Speed of P-501 increased to 28.50 Hz from 10 Hz during attack.
38,2016-01-02 11:31,2016-01-02 11:36,"AIT-402, AIT-502",In Normal Range,Set value of AIT402 as 260; Set value of AIT502 to 260,No,Water goes to drain because of overdosing,Water did not go to the drain
39,2016-01-02 11:43,2016-01-02 11:50,"FIT-401, AIT-502",In Normal Range,Set value of FIT-401 as 0.5; Set value of AIT-502 as 140 mV,No,UV will shut down and water will go to RO,UV did not shutdown
40,2016-01-02 11:51,2016-01-02 11:56,FIT-401,In Normal Range,Set value of FIT-401 as 0,No,UV will shut down and water will go to RO,"P-402 did not close, both should be interlinked"
41,2016-01-02 13:13,2016-01-02 13:40,LIT-301,Water level between L and H,decrease value by 0.5 mm per second,No,Tank overflow,Rate of decrease in water level reduced after 1:33:25 PM
